                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                  1.589,                 1.2295,                 1.5176,                0.87188,                0.85772,                0.91098,                0.59863,                 1.3605,                0.91772,                 1.4512,               0.003565,               0.003565,               0.003565
                     68,                 1.5733,                 1.2179,                 1.5181,                0.89207,                0.84605,                0.91217,                0.59808,                 1.3635,                0.91709,                 1.4483,               0.003466,               0.003466,               0.003466
                     69,                 1.5804,                 1.2192,                 1.5165,                0.88771,                0.85297,                0.91275,                0.60123,                 1.3615,                0.91153,                  1.443,               0.003367,               0.003367,               0.003367
                     70,                 1.5611,                 1.1897,                 1.4905,                0.88913,                0.85222,                0.91717,                 0.6115,                 1.3392,                0.89332,                 1.4297,               0.003268,               0.003268,               0.003268
                     71,                 1.5623,                 1.1968,                 1.4964,                0.89942,                0.85502,                0.91771,                0.62122,                 1.3179,                0.88537,                 1.4167,               0.003169,               0.003169,               0.003169
                     72,                 1.5448,                 1.2062,                 1.4961,                0.90112,                0.86158,                0.92056,                0.62447,                 1.3145,                0.86866,                 1.4073,                0.00307,                0.00307,                0.00307
                     73,                 1.5442,                 1.1732,                 1.4792,                0.89831,                0.85671,                0.91762,                0.61767,                 1.3145,                0.88818,                  1.407,               0.002971,               0.002971,               0.002971
                     74,                 1.5155,                 1.1622,                 1.4822,                0.90408,                0.85968,                 0.9212,                0.62222,                 1.3062,                 0.8725,                 1.4049,               0.002872,               0.002872,               0.002872
                     75,                 1.5183,                  1.153,                 1.4662,                 0.9018,                0.85887,                0.92246,                0.62251,                 1.3021,                0.86152,                 1.3983,               0.002773,               0.002773,               0.002773
                     76,                 1.5177,                  1.154,                 1.4694,                0.90568,                0.86525,                0.92395,                0.62811,                 1.2977,                0.85455,                 1.3964,               0.002674,               0.002674,               0.002674
                     77,                 1.5098,                 1.1503,                 1.4694,                0.90462,                0.87039,                0.92496,                0.62867,                 1.2871,                0.84767,                 1.3921,               0.002575,               0.002575,               0.002575
                     78,                 1.5057,                 1.1418,                 1.4483,                0.91201,                0.86536,                0.92421,                0.63217,                 1.2764,                0.84188,                 1.3783,               0.002476,               0.002476,               0.002476
                     79,                 1.4833,                 1.1346,                 1.4504,                0.91494,                0.86442,                0.92459,                0.63998,                 1.2502,                0.82468,                 1.3566,               0.002377,               0.002377,               0.002377
                     80,                 1.4908,                 1.1264,                 1.4496,                0.91384,                0.86403,                0.92637,                0.63809,                 1.2554,                0.81807,                 1.3616,               0.002278,               0.002278,               0.002278
                     81,                 1.4882,                 1.1145,                  1.438,                0.89796,                0.87403,                0.92782,                0.64093,                 1.2493,                0.81559,                 1.3548,               0.002179,               0.002179,               0.002179
                     82,                 1.4682,                 1.0993,                 1.4312,                 0.9107,                0.86816,                0.92942,                0.64094,                  1.251,                 0.8187,                 1.3543,                0.00208,                0.00208,                0.00208
                     83,                 1.4654,                 1.0931,                 1.4298,                0.91398,                0.86216,                0.92748,                0.64423,                 1.2384,                0.81733,                 1.3441,               0.001981,               0.001981,               0.001981
                     84,                 1.4606,                 1.0963,                 1.4333,                0.92564,                0.86932,                0.93198,                 0.6495,                 1.2329,                0.79696,                 1.3399,               0.001882,               0.001882,               0.001882
                     85,                 1.4625,                 1.0914,                 1.4257,                0.91615,                0.87369,                0.93261,                0.65472,                 1.2272,                0.79587,                 1.3351,               0.001783,               0.001783,               0.001783
                     86,                 1.4472,                 1.0835,                 1.4176,                0.90946,                0.87706,                0.93279,                0.65504,                 1.2198,                 0.7945,                 1.3302,               0.001684,               0.001684,               0.001684
                     87,                 1.4562,                 1.0777,                 1.4193,                0.92105,                0.87548,                0.93292,                0.65803,                 1.2145,                0.79186,                 1.3283,               0.001585,               0.001585,               0.001585
                     88,                 1.4199,                  1.049,                 1.4005,                0.92137,                0.87233,                0.93181,                0.65697,                 1.2083,                0.78739,                  1.323,               0.001486,               0.001486,               0.001486
                     89,                 1.4249,                 1.0607,                 1.4048,                 0.9173,                0.87507,                0.93369,                0.66073,                 1.1983,                0.78236,                 1.3139,               0.001387,               0.001387,               0.001387
                     90,                 1.4322,                 1.0573,                 1.3987,                0.92488,                0.88061,                0.93644,                0.65987,                 1.1995,                0.77518,                 1.3151,               0.001288,               0.001288,               0.001288
                     91,                 1.3363,                 0.8882,                 1.4044,                0.91512,                 0.8783,                0.93483,                0.65993,                 1.2016,                0.77071,                 1.3157,               0.001189,               0.001189,               0.001189
                     92,                 1.3179,                0.86911,                 1.3912,                0.91524,                0.88463,                0.93641,                0.66696,                 1.1953,                0.76677,                 1.3123,                0.00109,                0.00109,                0.00109
                     93,                 1.2942,                0.84654,                 1.3699,                 0.9278,                0.87865,                0.93714,                0.66983,                 1.1894,                0.75834,                 1.3059,               0.000991,               0.000991,               0.000991
                     94,                 1.2804,                0.84352,                 1.3659,                0.92341,                0.87931,                0.93753,                  0.671,                 1.1859,                0.75904,                 1.3068,               0.000892,               0.000892,               0.000892
                     95,                 1.2734,                0.83233,                  1.357,                0.92512,                0.88272,                0.93796,                0.67361,                 1.1786,                0.75069,                 1.3005,               0.000793,               0.000793,               0.000793
                     96,                 1.2613,                0.82807,                 1.3548,                0.93349,                0.88062,                0.93892,                0.67515,                 1.1661,                0.74088,                 1.2932,               0.000694,               0.000694,               0.000694
                     97,                 1.2622,                0.82243,                 1.3498,                0.92808,                0.88484,                0.93953,                0.67705,                 1.1611,                0.73932,                 1.2898,               0.000595,               0.000595,               0.000595
                     98,                 1.2391,                 0.8128,                  1.334,                0.92862,                0.88235,                0.93924,                0.67633,                 1.1584,                0.73524,                 1.2881,               0.000496,               0.000496,               0.000496
                     99,                   1.23,                0.80427,                 1.3366,                0.92971,                 0.8847,                 0.9409,                0.67972,                 1.1578,                0.73817,                 1.2871,               0.000397,               0.000397,               0.000397
                    100,                  1.239,                0.81486,                 1.3373,                0.93228,                0.88057,                0.94012,                0.68031,                 1.1566,                0.73833,                 1.2834,               0.000298,               0.000298,               0.000298
